# l [deg]   b [deg]   v_l [km/s]   v_u [km/s]   d_l [kpc]   d_u [kpc]
129.1	-2.1	-50		-55		2.6		2.9
145.0	-1.2	-31		-35		1.7		2.0
148.2	0.8		-25		-35		1.4		2.2
254.2	-9.2	16		nan		1.8		nan
243.8	-2.4	20		70		1.7		6.9
260.9	-0.3	18		55		2.4		6.2
280.2	0.1		nan		35		nan		7.1
290.3	-3.0	93		nan		16.1	nan
339.2	-0.2	-59		-77		4.2		5.0
1.5		-1.0	9		nan		0.125	nan
8.4		0.1		27		40		4.0		4.9
20.1	5.6		14		nan		1.5		nan
25.5	4.7		nan		18		nan		1.6
35.0	8.9		20		nan		1.6		nan
21.4	1.3		nan		20		nan		1.9
23.3	0.3		73		100		4.7		5.8
31.3	0		65		76		4.2		4.8
42.3	3.1		21		26		1.6		2.0
40.6	1.1		39		65		2.8		4.7
39.5	0.2		44		61		3.1		4.3
35.7	-2.0	40		60		2.8		4.0
55.8	3.5		nan		28		nan		2.8
55.3	2.9		20		nan		1.9		nan
47.4	-3.9	nan		20		nan		1.6
57.4	1.6		-16		-50		10.4	13.7
55.3	-3.5	nan		20		nan		1.9
69.0	0.0		-10		-60		7.0		12.0
89.0	-1.3	-24		-45		4.3		6.5
108.8	-0.6	-53		nan		3.3		nan
112.1	-0.6	-45		nan		2.6		nan
